Prospect #,Firm Name,Phone,Email,Email Status,Location / Address on file,Website,Size,Specialization,Why Target,Source Section,Contacted Already,First Contact Date,Contact Wave,Sequence,Email 1 Subject,Email 2 Sent Date,Email 2 Subject
1,"MEDOWS CPA, PLLC",(646) 415-8011,,No public email / form only,"New York, NY (Lower Manhattan)",https://www.medowscpa.com,Small (boutique firm),"Tax preparation & planning for high net worth individuals, freelancers, and small businesses; international tax (US/UK expats)","Boutique firm serving freelancers and small businesses = high volume of individual document collection. Modern web presence with online booking, client portal already in place - tech-forward.",NORTHEAST,No,,,,,,
2,Mei CPA PC,(718) 975-3363,info@meicpa.com,Confirmed,"Brooklyn, NY",https://meicpa.com,Small (2-5 employees),"Full-service CPA - tax prep, bookkeeping, IRS audit representation, payroll, ITIN issuance",IRS Certified Acceptance Agent issuing ITINs means heavy immigrant/international client base - these clients are ideal for WhatsApp-based communication. High-volume individual tax returns.,NORTHEAST,Yes,2026-03-12,USA Campaign Wave 2,C,Mei CPA PC - reaching clients who prefer WhatsApp,2026-03-19,Re: Mei CPA PC - reaching clients who prefer WhatsApp
3,Kempa & Company CPAs LLP,(800) 477-5857,,No public email / form only,"Locust Valley, NY (serves NYC metro)",https://www.kempacpa.com,Small (boutique),"Accounting, tax prep, bookkeeping for small businesses; serves real estate, medical, law, construction, nonprofits",Multi-industry small business focus means lots of clients needing documents collected. Free consultation model suggests growth-oriented.,NORTHEAST,No,,,,,,
4,Tristan CPA,+1-617-977-4807,hello@tristancpa.com,Confirmed,"Boston, MA",https://www.tristancpa.com,Small (boutique),"Cloud-based bookkeeping, tax prep, payroll for small businesses and startups; retail, real estate, non-profit","Already cloud-based and tech-forward (fixed-rate bookkeeping, modern accounting tech). Ideal early adopter for WhatsApp automation. Serves startups and small businesses = high client volume.",NORTHEAST,Yes,2026-03-11,USA Campaign Launch (Wave 1),B,,2026-03-18,Re: Tristan CPA's next automation win
5,Simon CPAs,617-627-9995,support@simonaccounting.com,Confirmed,"Boston, MA (also Braintree & Westwood, MA)",https://www.simon-cpas.com,"Small (3 locations, likely 5-15 employees)","Small business accounting, tax, bookkeeping, payroll, financial consulting",Three locations = growing firm with capacity challenges. Small business focus means high volume of clients needing document collection during tax season.,NORTHEAST,Yes,2026-03-11,USA Campaign Launch (Wave 1),A,,2026-03-18,Re: The follow-ups killing your team's time at Simon CPAs
6,"CPA Philly (McGovern & Associates, P.C.)",(215) 483-5555,info@cpaphilly.com,Confirmed,"Philadelphia, PA",https://www.cpaphilly.com,Small (established 1992),"Full-service CPA - tax compliance, accounting, auditing, financial planning, bookkeeping; serves healthcare, real estate, hospitality, tech, legal, nonprofits","Self-described ""grass roots accountants"" with broad client base across many industries. 30+ year firm likely dealing with high volume of returning tax clients needing annual document collection.",NORTHEAST,Yes,2026-03-11,USA Campaign Launch (Wave 1),A,,2026-03-18,Re: CPA Philly - still chasing clients for documents?
7,"MacAlpine Carll and Co., LLC",(215) 923-1101,cpa@macalpinecarll.com,Confirmed,"Philadelphia, PA",https://www.macalpinecarll.com,"Small (est. 1910, longstanding local firm)","Tax management, accounting, audits, financial statements, financial planning",100+ year old firm - deeply rooted local client base likely means hundreds of recurring individual and small business clients. Document collection automation would be transformative.,NORTHEAST,Yes,2026-03-12,USA Campaign Wave 2,A,"MacAlpine Carll and Co., LLC - still chasing clients for documents?",2026-03-19,"Re: MacAlpine Carll and Co., LLC - still chasing clients for documents?"
8,"Fricke & Associates, LLC",770-216-2226,info@frickecpa.com,Confirmed,"Peachtree Corners, GA (also Marietta & Atlanta)",https://frickecpa.com,"Small (3 GA locations, ~5-15 employees)","Tax prep & planning, audits, bookkeeping, payroll, business consulting; serves attorneys, filmmakers, nonprofits, contractors, healthcare",Three locations with diverse client base = significant document collection burden. AICPA and GA Society member - professional and credible.,SOUTHEAST,Yes,2026-03-11,USA Campaign Launch (Wave 1),A,,2026-03-18,"Re: Fricke & Associates, LLC - still chasing clients for documents?"
9,Debbie Griffiths CPA LLC,(404) 874-8271,info@griffithsatlanta.com,Confirmed,"Atlanta, GA",https://www.griffithsatlanta.com,Small (solo/small practice),"Business accounting & advisory, tax solutions, QuickBooks implementation/training",Small firm serving business owners and independent professionals. QuickBooks training shows tech-forward mindset. Solo/small practice would benefit greatly from automation.,SOUTHEAST,Yes,2026-03-12,USA Campaign Wave 2,B,Debbie Griffiths CPA LLC's next automation win,2026-03-19,Re: Debbie Griffiths CPA LLC's next automation win
10,"Eliseo CPA, LLC",(470) 289-6260,jared@eliseocpa.com,Confirmed,"Atlanta, GA",https://www.eliseocpa.com,Small (founder + small team),"Tax prep, bookkeeping, payroll, consulting, CFO services for individuals and small businesses nationwide","Big Four alumni running a small practice - understands scale and efficiency. Serves clients nationwide = remote document collection is already a challenge. Modern website, clearly tech-savvy.",SOUTHEAST,Yes,2026-03-11,USA Campaign Launch (Wave 1),B,,2026-03-18,"Re: The one workflow Eliseo CPA, LLC probably hasn't automated yet"
11,The Atlanta CPA Group LLC,678-235-4060,info@atlcpagroup.com,Confirmed,"Duluth, GA (Metro Atlanta)",https://atlcpagroup.com,Small (est. 2011),"Accounting, tax, business consulting; healthcare, real estate, truckers, tech, entertainers","Diverse niche client base (truckers, entertainers) = lots of unique document needs. AICPA member, QuickBooks certified - tech-forward.",SOUTHEAST,Yes,2026-03-12,USA Campaign Wave 2,B,The one workflow The Atlanta CPA Group LLC probably hasn't automated yet,2026-03-19,Re: The one workflow The Atlanta CPA Group LLC probably hasn't automated yet
12,JM CPA Group,(305) 677-3677,Info@JMCPAGroup.com,Confirmed,"Miami, FL (West Miami/Flagami)",https://www.jmcpagroup.com,Small,"Accounting, tax prep, business consulting, outsourced CFO, QuickBooks, IRS representation; serves small business owners, medical professionals, e-commerce",Miami = large Spanish-speaking client base ideal for WhatsApp communication. Serves e-commerce and medical professionals who generate lots of documents. Modern service offerings.,SOUTHEAST,Yes,2026-03-11,USA Campaign Launch (Wave 1),C,,2026-03-18,Re: JM CPA Group - reaching clients who prefer WhatsApp
13,MiamiCPA LLC,(305) 466-9772,glenn@miamicpa.com,Confirmed,"North Miami, FL",https://www.miamicpa.com,Small,"Tax advisory, international taxes, crypto accounting; serves physicians, real estate, attorneys, foreign nationals, import/export",Bilingual (English/Spanish) with evening/weekend appointments = client-focused culture that values accessibility. International/foreign national clients are WhatsApp-native. Crypto + international = complex document needs.,SOUTHEAST,Yes,2026-03-12,USA Campaign Wave 2,C,Document collection for MiamiCPA LLC's diverse client base,2026-03-19,Re: Document collection for MiamiCPA LLC's diverse client base
14,Miyares Group,(305) 640-8521,,No public email / form only,"Coral Gables, FL (also Naples & Winter Garden)",https://miyaresgroup.com,Small-Medium (3 FL locations),"Boutique accounting & consulting - outsourced CFO, bookkeeping, tax, audit, business consulting; construction, real estate, retail, automotive, professional services",Boutique with 3 locations in South Florida since 2006 - growing firm with scaling challenges. Construction and real estate clients need lots of documentation.,SOUTHEAST,No,,,,,,
