Prospect #,Firm Name,Phone,Email,Email Status,Location / Address on file,Website,Size,Specialization,Why Target,Source Section,Contacted Already,First Contact Date,Contact Wave,Sequence,Email 1 Subject,Email 2 Sent Date,Email 2 Subject
4,Tristan CPA,+1-617-977-4807,hello@tristancpa.com,Confirmed,"Boston, MA",https://www.tristancpa.com,Small (boutique),"Cloud-based bookkeeping, tax prep, payroll for small businesses and startups; retail, real estate, non-profit","Already cloud-based and tech-forward (fixed-rate bookkeeping, modern accounting tech). Ideal early adopter for WhatsApp automation. Serves startups and small businesses = high client volume.",NORTHEAST,Yes,2026-03-11,USA Campaign Launch (Wave 1),B,,2026-03-18,Re: Tristan CPA's next automation win
5,Simon CPAs,617-627-9995,support@simonaccounting.com,Confirmed,"Boston, MA (also Braintree & Westwood, MA)",https://www.simon-cpas.com,"Small (3 locations, likely 5-15 employees)","Small business accounting, tax, bookkeeping, payroll, financial consulting",Three locations = growing firm with capacity challenges. Small business focus means high volume of clients needing document collection during tax season.,NORTHEAST,Yes,2026-03-11,USA Campaign Launch (Wave 1),A,,2026-03-18,Re: The follow-ups killing your team's time at Simon CPAs
6,"CPA Philly (McGovern & Associates, P.C.)",(215) 483-5555,info@cpaphilly.com,Confirmed,"Philadelphia, PA",https://www.cpaphilly.com,Small (established 1992),"Full-service CPA - tax compliance, accounting, auditing, financial planning, bookkeeping; serves healthcare, real estate, hospitality, tech, legal, nonprofits","Self-described ""grass roots accountants"" with broad client base across many industries. 30+ year firm likely dealing with high volume of returning tax clients needing annual document collection.",NORTHEAST,Yes,2026-03-11,USA Campaign Launch (Wave 1),A,,2026-03-18,Re: CPA Philly - still chasing clients for documents?
8,"Fricke & Associates, LLC",770-216-2226,info@frickecpa.com,Confirmed,"Peachtree Corners, GA (also Marietta & Atlanta)",https://frickecpa.com,"Small (3 GA locations, ~5-15 employees)","Tax prep & planning, audits, bookkeeping, payroll, business consulting; serves attorneys, filmmakers, nonprofits, contractors, healthcare",Three locations with diverse client base = significant document collection burden. AICPA and GA Society member - professional and credible.,SOUTHEAST,Yes,2026-03-11,USA Campaign Launch (Wave 1),A,,2026-03-18,"Re: Fricke & Associates, LLC - still chasing clients for documents?"
10,"Eliseo CPA, LLC",(470) 289-6260,jared@eliseocpa.com,Confirmed,"Atlanta, GA",https://www.eliseocpa.com,Small (founder + small team),"Tax prep, bookkeeping, payroll, consulting, CFO services for individuals and small businesses nationwide","Big Four alumni running a small practice - understands scale and efficiency. Serves clients nationwide = remote document collection is already a challenge. Modern website, clearly tech-savvy.",SOUTHEAST,Yes,2026-03-11,USA Campaign Launch (Wave 1),B,,2026-03-18,"Re: The one workflow Eliseo CPA, LLC probably hasn't automated yet"
12,JM CPA Group,(305) 677-3677,Info@JMCPAGroup.com,Confirmed,"Miami, FL (West Miami/Flagami)",https://www.jmcpagroup.com,Small,"Accounting, tax prep, business consulting, outsourced CFO, QuickBooks, IRS representation; serves small business owners, medical professionals, e-commerce",Miami = large Spanish-speaking client base ideal for WhatsApp communication. Serves e-commerce and medical professionals who generate lots of documents. Modern service offerings.,SOUTHEAST,Yes,2026-03-11,USA Campaign Launch (Wave 1),C,,2026-03-18,Re: JM CPA Group - reaching clients who prefer WhatsApp
24,Cooper CPA Group,(713) 243-8590,hello@coopercpagroup.com,Confirmed,"Houston, TX",https://www.coopercpagroup.com,Small (20+ years),"Growth consulting, tax minimization, business strategy, M&A, QuickBooks consulting","""Google-like collaborative environment"" = tech-forward culture. Growth consulting focus means they work with scaling businesses that have increasing document needs.",SOUTHWEST,Yes,2026-03-11,USA Campaign Launch (Wave 1),B,,2026-03-18,Re: Cooper CPA Group's next automation win
26,Patten & Company,214-696-1922,info@ptcpas.com,Confirmed,"Dallas, TX",https://ptcpas.com,Small-Medium (est. 1969),"Tax, accounting, auditing; real estate, oil & gas, agriculture, entrepreneurial businesses, estate planning",55+ year DFW institution = massive recurring client base. Real estate + oil & gas + agriculture = document-intensive industries.,SOUTHWEST,Yes,2026-03-11,USA Campaign Launch (Wave 1),A,,2026-03-18,Re: Quick question about document collection at Patten & Company
29,Foster Financial CPA,(602) 833-3260,office@fosterfinancialcpa.com,Confirmed,"Scottsdale, AZ (serves Phoenix metro)",https://fosterfinancialcpa.com,Small (boutique),"Bookkeeping, tax prep, CFO consulting, cash flow management for small businesses; Phoenix, Scottsdale, Chandler, Austin","Boutique with multi-city presence (AZ + Austin) = growing and scaling. Mission to ""reduce time in dealing with accounting"" = perfect alignment with automation pitch.",SOUTHWEST,Yes,2026-03-11,USA Campaign Launch (Wave 1),B,,2026-03-18,Re: Foster Financial CPA's next automation win
36,Pitch CPA,425-487-6888,info@PitchCPA.com,Confirmed,"Bothell, WA (Seattle metro)",https://www.pitchcpa.com,Small (100+ years combined team experience),"Tax prep (real estate, small business, tech employees, startups), tax planning, IRS audit resolution, bookkeeping, payroll","""Relationship-driven approach"" serving tech employees and startups in Seattle metro = tech-forward clientele who expect modern tools. Startup consulting = onboarding new businesses with heavy doc needs.",PACIFIC NORTHWEST,Yes,2026-03-11,USA Campaign Launch (Wave 1),B,,2026-03-18,Re: Pitch CPA's next automation win
