Prospect #,Firm Name,Phone,Email,Email Status,Location / Address on file,Website,Size,Specialization,Why Target,Source Section
16,"Evan Hutcheson, CPA, LLC",615-727-2295,evan@evanhcpa.com,Confirmed,"Nashville, TN",https://www.evanhcpa.com,Small (est. 2012),"Tax prep, bookkeeping, payroll, virtual accounting, business management consulting",Virtual accounting services = already tech-forward. Small firm handling tax prep + bookkeeping + payroll = overwhelmed with document collection during busy season.,SOUTHEAST
60,Carlson CPA,(818) 312-1664,bill@carlsoncpa.com,Confirmed,"Valencia, CA (West Coast)",https://www.carlsoncpa.com,,"Accounting, tax",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
61,Lane CPA,(313) 961-1181,info@lane-cpa.com,Confirmed,"Detroit, MI (Midwest)",https://www.lane-cpa.com,,"Accounting, tax, business consulting",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
62,Laubie Dotson Ryan LLC,(614) 745-3600,info@ldrcpa.com,Confirmed,"Columbus, OH (Midwest)",https://www.ldrcpa.com,,"CPA, small business accounting",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
63,Florida CPA Firm LLC,(305) 342-3994,info@flacpafirm.com,Confirmed,South Florida (Southeast),https://www.flacpafirm.com,,"Tax preparation, accounting",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
64,Wilson CPA PC,(845) 342-1000,bob@robertwilsoncpa.com,Confirmed,"Middletown, NY (Northeast)",https://www.wilsoncpa.com,,"Tax, accounting",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
65,Alan C. Young & Associates PC,(313) 873-7500,info@alancyoung.com,Confirmed,"Detroit, MI (Midwest)",https://www.alancyoung.com,,"Audit, accounting, tax, consulting (minority-owned)",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
66,CLD & Associates LLC,(866) 908-0937,info@cldassociatesllc.com,Confirmed,"Detroit, MI (Midwest)",https://www.cldassociatesllc.com,,"Accounting, tax",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
67,Harris Burnett Arend & Schmiesing (HBAS) CPAs,(614) 436-2727,admin@hbastax.com,Confirmed,"Columbus, OH (Midwest)",http://hbastax.com,,"Tax, accounting",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
68,Hogan CPA Financial Services,(614) 392-9604,info@hogancpaservices.com,Confirmed,"Columbus, OH (Midwest)",https://hogancpaservices.com,,"Tax, accounting",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
69,Alex Bianchi CPA,(380) 444-6807,alex@alexbianchicpa.com,Confirmed,"Columbus, OH (Midwest)",https://www.alexbianchicpa.com,,Small business tax services,,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
70,Perfect Balance CPA,(614) 235-8877,steph@perfectbalancecpa.com,Confirmed,"Columbus, OH (Midwest)",https://www.perfectbalancecpa.com,,"Accounting, tax",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
71,JP Tax and Bookkeeping,(614) 330-9002,jpabon@jptaxllc.com,Confirmed,"Columbus, OH (Midwest)",https://jptaxllc.com,,"Small business bookkeeping, tax",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
72,Harper & Co CPA,(614) 456-7222,tax@harpercpaplus.com,Confirmed,"Columbus, OH (Midwest)",https://www.harpercpaplus.com,,"CPA services, tax",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
73,BBI Accounting,(614) 486-5480,admin@bbiaccounting.com,Confirmed,"Columbus, OH (Midwest)",https://bbiaccounting.com,,"Income tax preparation, individuals and small corporations",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
74,Newman & Company CPAs,(216) 781-6106,tax@newmancpas.com,Confirmed,"Cleveland, OH (Midwest)",https://www.newmancpas.com,,"Accounting, tax",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
75,Cleveland CPA Firm,1(800) 355-6320,info@clevelandcpafirm.com,Confirmed,"Cleveland, OH (Midwest)",https://clevelandcpafirm.com,,"Tax, audit, advisory",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
76,Fox Peterson LLC,(480) 898-7640,hello@foxpeterson.com,Confirmed,"Mesa, AZ (Southwest)",https://foxpeterson.com,,"Small business tax, QuickBooks, bookkeeping",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
77,TC Tax & Accounting,(480) 649-9550,cpa@tccpa.com,Confirmed,"Mesa, AZ (Southwest)",https://tccpa.com,,"Tax, accounting for individuals and small businesses",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
78,Count On Us CPA,(330) 322-4621,debbie@countonuscpa.com,Confirmed,"Akron, OH (Midwest)",https://countonuscpa.com,,"QuickBooks, bookkeeping, payroll, CFO services",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
79,Millman CPA Strategic Solutions,(615) 672-9205,lisa@lisamillmancpa.com,Confirmed,"Nashville, TN (Southeast)",https://lisamillmancpa.com,,"Small business tax, accounting, QuickBooks",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
80,Rocca CPA,(612) 361-6515,hello@roccacpa.com,Confirmed,"Minneapolis, MN (Midwest)",https://roccacpa.com,,"Startups, growing businesses, fractional CFO",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)"
